relation_id,activator,receptor,relation_Bbox,relation_type,fig_id,fig_name,fig_file,height,width,fig_title,fig_caption,review_status,fig_path,reviewer_name
6673,Activin A,Activin A,"233,11,341.00000000000006,909.9999999999998",activate_relation,390,PMC4074601__nihms577797f8.jpg,,1050,932,test,test,1,static/imgs/validation/,Stuart
2109,ANG,MAS,"345.6778564453,444.372253418,28.4194030762,58.5385742188",inhibit_relation,394,PMC5238375__srep40523-f2.jpg,,763,675,test,test,1,static/imgs/validation/,Ziting
2110,ANG,ATIR,"256.9506835938,476.6862182617,25.7826843262,51.4584960938",activate_relation,394,PMC5238375__srep40523-f2.jpg,,763,675,test,test,1,static/imgs/validation/,Ziting
2111,ACE2,ANG,"346.7620849609,352.7956237793,27.2667236328,53.1542053223",inhibit_relation,394,PMC5238375__srep40523-f2.jpg,,763,675,test,test,1,static/imgs/validation/,Ziting
2112,LXR-A,ATIR/p38,"129.3858032227,230.2089691162,119.4472198486,139.4568328857",activate_relation,394,PMC5238375__srep40523-f2.jpg,,763,675,test,test,1,static/imgs/validation/,Ziting
2113, PFD,LXR-A,"64.4139938354,333.6741027832,60.9488143921,40.9773254395",activate_relation,394,PMC5238375__srep40523-f2.jpg,,763,675,test,test,1,static/imgs/validation/,Ziting
2114, PFD,LXR-A,"533.9535522461,320.9661254883,72.5924682617,48.2015991211",activate_relation,394,PMC5238375__srep40523-f2.jpg,,763,675,test,test,1,static/imgs/validation/,Ziting
2115,ACE,ANG,"258.0511169434,372.8935546875,23.2997741699,63.015838623",activate_relation,394,PMC5238375__srep40523-f2.jpg,,763,675,test,test,1,static/imgs/validation/,Ziting
2116,ATIR/p38,ACE,"267.3764648438,262.1236877441,43.0836791992,70.0870361328",activate_relation,394,PMC5238375__srep40523-f2.jpg,,763,675,test,test,1,static/imgs/validation/,Ziting
2117,LXR-A,MAPK2,"416.9346618652,234.4023590088,112.6714172363,124.8393707275",activate_relation,394,PMC5238375__srep40523-f2.jpg,,763,675,test,test,1,static/imgs/validation/,Ziting
2118,MAPK2,ACE2,"338.1444091797,261.5974731445,37.4991760254,55.5038146973",inhibit_relation,394,PMC5238375__srep40523-f2.jpg,,763,675,test,test,1,static/imgs/validation/,Ziting
2121,ATIR/p38,LXR-A,"82.2633743286,218.1799926758,140.4298095703,140.2692260742",activate_relation,394,PMC5238375__srep40523-f2.jpg,,763,675,test,test,1,static/imgs/validation/,Ziting
2122,MAPK2,LXR-A,"474.5251159668,218.5814056396,148.129119873,135.0634002686",activate_relation,394,PMC5238375__srep40523-f2.jpg,,763,675,test,test,1,static/imgs/validation/,Ziting
6671,myocardial damage,MAPK2,"271.00000000000006,39,121.99999999999997,199",activate_relation,394,PMC5238375__srep40523-f2.jpg,,763,675,test,test,1,static/imgs/validation/,Ziting
2245,FSHR,PKAN,"231.2751159668,97.6197967529,26.3272399902,55.2975921631",activate_relation,413,PMC6241696__ott-11-8107Fig4.jpg,,624,744,test,test,1,static/imgs/validation/,Ziting
2247,GSK3B,NFKB1,"221.338470459,276.9652404785,52.9769897461,75.8396606445",inhibit_relation,413,PMC6241696__ott-11-8107Fig4.jpg,,624,744,test,test,1,static/imgs/validation/,Ziting
2248,PKAN,GSK3B,"222.5801086426,187.0217285156,52.3644714355,61.7376861572",inhibit_relation,413,PMC6241696__ott-11-8107Fig4.jpg,,624,744,test,test,1,static/imgs/validation/,Ziting
2249,NFKB1, NFKB1,"239.2917480469,397.774597168,24.4708251953,79.2338867188",activate_relation,413,PMC6241696__ott-11-8107Fig4.jpg,,624,744,test,test,1,static/imgs/validation/,Ziting
6412,NFKB1,CASP3,"218,373,295,12.000000000000016",activate_relation,413,PMC6241696__ott-11-8107Fig4.jpg,,624,744,test,test,1,static/imgs/validation/,Ziting
6393,PI3K,AKT,"273,157,262.00000000000006,91.99999999999999",activate_relation,431,PMC3932947__2040-2392-5-9-7.jpg,,607,600,test,test,1,static/imgs/validation/,Yijie
6394,PI3K,PDK1,"92,157,234,87.99999999999996",activate_relation,431,PMC3932947__2040-2392-5-9-7.jpg,,607,600,test,test,1,static/imgs/validation/,Yijie
6395,PDK1,S6K,"92,230,228,215",activate_relation,431,PMC3932947__2040-2392-5-9-7.jpg,,607,600,test,test,1,static/imgs/validation/,Yijie
6396,MTORC1,S6K,"279,350,280.99999999999994,94.99999999999997",activate_relation,431,PMC3932947__2040-2392-5-9-7.jpg,,607,600,test,test,1,static/imgs/validation/,Yijie
6397,S6K,DIFFERENTIATION,"62,429,258,72",activate_relation,431,PMC3932947__2040-2392-5-9-7.jpg,,607,600,test,test,1,static/imgs/validation/,Yijie
6398,S6K,PROLIFERATION,"279,429,245.00000000000009,69.99999999999993",activate_relation,431,PMC3932947__2040-2392-5-9-7.jpg,,607,600,test,test,1,static/imgs/validation/,Yijie
6399,S6K,PI3K,"273,157,53.00000000000002,288",inhibit_relation,431,PMC3932947__2040-2392-5-9-7.jpg,,607,600,test,test,1,static/imgs/validation/,Yijie
6644,EN2,DIFFERENTIATION,"62,477,262,96",activate_relation,431,PMC3932947__2040-2392-5-9-7.jpg,,607,600,test,test,1,static/imgs/validation/,Yijie
6645,EN2,PROLIFERATION,"287,473,237.00000000000006,100.00000000000003",inhibit_relation,431,PMC3932947__2040-2392-5-9-7.jpg,,607,600,test,test,1,static/imgs/validation/,Yijie
2474,ERK1, ETS1,"321.1948852539,285.4559326172,84.6156311035,80.7766418457",activate_relation,446,PMC5482458__pone.0179614.g005.jpg,,774,615,test,test,1,static/imgs/validation/,Ziting
2777,UO126,ERK,"254.597442627,571.5298461914,51.1907958984,52.610168457",inhibit_relation,484,PMC5967041__12885_2018_4500_Fig4_HTML.jpg,,679,787,test,test,1,static/imgs/validation/,Ziting
2778,ERK,mRNA,"333.1830444336,536.6154785156,38.3772583008,20.4864501953",activate_relation,484,PMC5967041__12885_2018_4500_Fig4_HTML.jpg,,679,787,test,test,1,static/imgs/validation/,Ziting
2877,PPARS, NF-KB,"99.8053741455,190.4318237305,42.6100921631,22.7590179443",inhibit_relation,502,PMC3341532__nihms-362544-f0008.jpg,,485,600,test,test,1,static/imgs/validation/,Joshua
6270, ROS, NF-KB,"168,109,156,99.00000000000001",activate_relation,502,PMC3341532__nihms-362544-f0008.jpg,,485,600,test,test,1,static/imgs/validation/,Joshua
6271,PPARS, ROS,"290,105,240.00000000000006,22.999999999999993",inhibit_relation,502,PMC3341532__nihms-362544-f0008.jpg,,485,600,test,test,1,static/imgs/validation/,Joshua
6275, IL-1B,NEURO-INFLAMMATION,"166,278,215,149.00",activate_relation,502,PMC3341532__nihms-362544-f0008.jpg,,485,600,test,test,1,static/imgs/validation/,Joshua
6478,"Cox-2, MCP-1, IL-1B, TNF-a",NEURO-INFLAMMATION,"195,281,386.0000000000001,146.00000000000003",activate_relation,502,PMC3341532__nihms-362544-f0008.jpg,,485,600,test,test,1,static/imgs/validation/,Joshua
6479,PKCa/MEK/ERK/AP-1,"Cox-2, MCP-1, IL-1B, TNF-a","336,192,245.00000000000009,111",activate_relation,502,PMC3341532__nihms-362544-f0008.jpg,,485,600,test,test,1,static/imgs/validation/,Joshua
6480, ROS,PKCa/MEK/ERK/AP-1,"290,109,275.99999999999994,102.00000000000003",activate_relation,502,PMC3341532__nihms-362544-f0008.jpg,,485,600,test,test,1,static/imgs/validation/,Joshua
6481,PKCa/MEK/ERK/AP-1, ROS,"290,109,275.99999999999994,102.00000000000003",activate_relation,502,PMC3341532__nihms-362544-f0008.jpg,,485,600,test,test,1,static/imgs/validation/,Joshua
6482, NF-KB, IL-1B,"166,193,51.99999999999998,102.00000000000003",activate_relation,502,PMC3341532__nihms-362544-f0008.jpg,,485,600,test,test,1,static/imgs/validation/,Joshua
2906,MEK1,ERK1,"171.9269866943,395.7303466797,41.3671569824,80.7385559082",inhibit_relation,509,PMC6675870__fphar-10-00784-g006.jpg,,1013,787,test,test,1,static/imgs/validation/,Ziting
2908,ERK1,BCL-2,"281.5595703125,488.0581054688,105.7389221191,29.2825927734",activate_relation,509,PMC6675870__fphar-10-00784-g006.jpg,,1013,787,test,test,1,static/imgs/validation/,Ziting
6417, MCL-1,BCL-2,"438,395,79.00000000000003,102.00000000000007",activate_relation,509,PMC6675870__fphar-10-00784-g006.jpg,,1013,787,test,test,1,static/imgs/validation/,Ziting
6418,BAK,BAX,"636,400,55.00000000000006,96.99999999999997",activate_relation,509,PMC6675870__fphar-10-00784-g006.jpg,,1013,787,test,test,1,static/imgs/validation/,Ziting
6669,chPL,MEK1,"121,169,156.00000000000003,209.99999999999994",inhibit_relation,509,PMC6675870__fphar-10-00784-g006.jpg,,1013,787,test,test,1,static/imgs/validation/,Ziting
6670,caspase activation,cell death,"2,813,335,199.00",activate_relation,509,PMC6675870__fphar-10-00784-g006.jpg,,1013,787,test,test,1,static/imgs/validation/,Ziting
2936, PKCA,IKB,"532.2654418945,230.9043273926,15.1044921875,51.7156982422",activate_relation,515,PMC6322368__medscimonit-24-9413-g008.jpg,,400,640,test,test,1,static/imgs/validation/,Yijie
2971,EDN1,EDNRB,"272.639251709,194.241104126,98.853515625,24.5835418701",activate_relation,522,PMC3036164__nihms259428f8.jpg,,600,498,test,test,1,static/imgs/validation/,Stuart
6008,DLX6A,NC differentiation,"166,419,175.99999999999997,127",activate_relation,522,PMC3036164__nihms259428f8.jpg,,600,498,test,test,1,static/imgs/validation/,Stuart
6687,EDNRB,Alcama,"32,127,313,55.999999999999986",activate_relation,522,PMC3036164__nihms259428f8.jpg,,600,498,test,test,1,static/imgs/validation/,Stuart
6688,NADL1.1,HAND2,"31,330,255.00000000000006,47.000000000000036",activate_relation,522,PMC3036164__nihms259428f8.jpg,,600,498,test,test,1,static/imgs/validation/,Stuart
6689,EDN1,Ednra/b,"391,209,81.99999999999997,113",activate_relation,522,PMC3036164__nihms259428f8.jpg,,600,498,test,test,1,static/imgs/validation/,Stuart
6690,Ednra/b,HAND2,"232,294,240.99999999999994,83.00000000000003",activate_relation,522,PMC3036164__nihms259428f8.jpg,,600,498,test,test,1,static/imgs/validation/,Stuart
3159,EFFECTORS,TRANSDUCERS,"379.1988830566,270.9372558594,25.0250854492,60.9638366699",activate_relation,556,PMC3978517__genes-05-00147-g002.jpg,,626,739,test,test,1,static/imgs/validation/,Yijie
3160,EFFECTORS,DDK,"396.9932861328,385.233581543,30.5101013184,65.6707763672",inhibit_relation,556,PMC3978517__genes-05-00147-g002.jpg,,626,739,test,test,1,static/imgs/validation/,Yijie
3161,TRANSDUCERS,EFFECTORS,"402.2886962891,269.1669006348,22.1975708008,63.788269043",activate_relation,556,PMC3978517__genes-05-00147-g002.jpg,,626,739,test,test,1,static/imgs/validation/,Yijie
3162,ATR,TRANSDUCERS,"403.0126342773,152.791015625,19.7417297363,62.9326934814",activate_relation,556,PMC3978517__genes-05-00147-g002.jpg,,626,739,test,test,1,static/imgs/validation/,Yijie
3163,TRANSDUCERS,ATR,"384.1213378906,152.6961364746,18.8630065918,64.3298492432",activate_relation,556,PMC3978517__genes-05-00147-g002.jpg,,626,739,test,test,1,static/imgs/validation/,Yijie
3165,CDKS,EFFECTORS,"379.958190918,384.8805847168,25.2916259766,61.6854553223",activate_relation,556,PMC3978517__genes-05-00147-g002.jpg,,626,739,test,test,1,static/imgs/validation/,Yijie
3166,ATR,RPA,"259.9597473145,153.6520690918,123.1334533691,44.0457763672",activate_relation,556,PMC3978517__genes-05-00147-g002.jpg,,626,739,test,test,1,static/imgs/validation/,Yijie
6182,DDK,EFFECTORS,"354,349,103.99999999999996,134.99999999999997",activate_relation,556,PMC3978517__genes-05-00147-g002.jpg,,626,739,test,test,1,static/imgs/validation/,Yijie
6183,EFFECTORS,CDKS,"354,349,83.99999999999999,138.99999999999997",inhibit_relation,556,PMC3978517__genes-05-00147-g002.jpg,,626,739,test,test,1,static/imgs/validation/,Yijie
6191,TRANSDUCERS,EFFECTORS,"335,236,118,130.00",activate_relation,556,PMC3978517__genes-05-00147-g002.jpg,,626,739,test,test,1,static/imgs/validation/,Yijie
6200,TRANSDUCERS,ATR,"335,129,118,123",activate_relation,556,PMC3978517__genes-05-00147-g002.jpg,,626,739,test,test,1,static/imgs/validation/,Yijie
6203,ATR, FPC,"383,127,189.99999999999997,21.000000000000014",activate_relation,556,PMC3978517__genes-05-00147-g002.jpg,,626,739,test,test,1,static/imgs/validation/,Yijie
6204,ATR,H2AX,"383,109,306.99999999999994,39.00000000000002",activate_relation,556,PMC3978517__genes-05-00147-g002.jpg,,626,739,test,test,1,static/imgs/validation/,Yijie
6517,CDKS,CELL CYCLE,"343.99999999999994,470,97.99999999999997,137.00000000000003",inhibit_relation,556,PMC3978517__genes-05-00147-g002.jpg,,626,739,test,test,1,static/imgs/validation/,Yijie
6518,DDK,CELL CYCLE,"343.99999999999994,469,114,138.00000000000006",inhibit_relation,556,PMC3978517__genes-05-00147-g002.jpg,,626,739,test,test,1,static/imgs/validation/,Yijie
6519,CELL CYCLE,CDKS,"343.99999999999994,470,97.99999999999997,137.00000000000003",activate_relation,556,PMC3978517__genes-05-00147-g002.jpg,,626,739,test,test,1,static/imgs/validation/,Yijie
6520,CELL CYCLE,DDK,"343.99999999999994,469,114,138.00000000000006",activate_relation,556,PMC3978517__genes-05-00147-g002.jpg,,626,739,test,test,1,static/imgs/validation/,Yijie
3176,MEK1/2,ERK1/2,"340.6057739258,238.756439209,20.3284606934,44.5185546875",activate_relation,558,PMC5642883__BMRI2017-9592501.008.jpg,,688,668,test,test,1,static/imgs/validation/,Yijie
3177,ERK1/2,XS,"338.7215576172,358.4595336914,20.6383666992,62.870300293",activate_relation,558,PMC5642883__BMRI2017-9592501.008.jpg,,688,668,test,test,1,static/imgs/validation/,Yijie
3178,TPA,MEK1/2,"336.7637939453,39.3342704773,29.2733459473,117.3574066162",activate_relation,558,PMC5642883__BMRI2017-9592501.008.jpg,,688,668,test,test,1,static/imgs/validation/,Yijie
6205,XS,XS,"339,443,22.999999999999986,148.00000000000009",activate_relation,558,PMC5642883__BMRI2017-9592501.008.jpg,,688,668,test,test,1,static/imgs/validation/,Yijie
3313,P-GP,CHEMORESISTANCE,"300.1804199219,620.8149414062,51.8986816406,90.1135253906",activate_relation,581,PMC5908975__fnmol-11-00130-g0007.jpg,,735,661,test,test,1,static/imgs/validation/,Yijie
3314, AKT,P-GP,"295.3264465332,441.7499084473,59.2854309082,116.3923034668",activate_relation,581,PMC5908975__fnmol-11-00130-g0007.jpg,,735,661,test,test,1,static/imgs/validation/,Yijie
3315,P53,APOPTOSIS,"195.5149383545,573.6361083984,26.9760284424,47.4680786133",activate_relation,581,PMC5908975__fnmol-11-00130-g0007.jpg,,735,661,test,test,1,static/imgs/validation/,Yijie
3316, AKT,ERK,"96.6035842896,411.3159790039,119.4998092651,61.2180175781",activate_relation,581,PMC5908975__fnmol-11-00130-g0007.jpg,,735,661,test,test,1,static/imgs/validation/,Yijie
3317,PAXILLIN, AKT,"268.2697143555,314.8529663086,41.7384033203,57.9594421387",activate_relation,581,PMC5908975__fnmol-11-00130-g0007.jpg,,735,661,test,test,1,static/imgs/validation/,Yijie
3325, AKT,MMP2,"318.3034057617,407.375,204.3487548828,73.2284851074",activate_relation,581,PMC5908975__fnmol-11-00130-g0007.jpg,,735,661,test,test,1,static/imgs/validation/,Yijie
6206, AKT,P53,"0,0,231,551",inhibit_relation,581,PMC5908975__fnmol-11-00130-g0007.jpg,,735,661,test,test,1,static/imgs/validation/,Yijie
6211, AKT,MMP9,"244,409,341,97.99999999999999",activate_relation,581,PMC5908975__fnmol-11-00130-g0007.jpg,,735,661,test,test,1,static/imgs/validation/,Yijie
6216, AKT,SOX-2,"244,409,221,110.00",inhibit_relation,581,PMC5908975__fnmol-11-00130-g0007.jpg,,735,661,test,test,1,static/imgs/validation/,Yijie
6217,SOX-2,DIFFERENTIATION,"395.00000000000006,507,102.99999999999997,133.00000000000003",inhibit_relation,581,PMC5908975__fnmol-11-00130-g0007.jpg,,735,661,test,test,1,static/imgs/validation/,Yijie
6220,PROLIFERATION,CHEMORESISTANCE,"4,676.9999999999999,348.99999999999994,55.00000000000006",activate_relation,581,PMC5908975__fnmol-11-00130-g0007.jpg,,735,661,test,test,1,static/imgs/validation/,Yijie
6221,APOPTOSIS,CHEMORESISTANCE,"160,629,192.99999999999997,103.00000000000003",inhibit_relation,581,PMC5908975__fnmol-11-00130-g0007.jpg,,735,661,test,test,1,static/imgs/validation/,Yijie
6646,ERK,CYCLIN D1,"19,486,69,114.00000000000007",activate_relation,581,PMC5908975__fnmol-11-00130-g0007.jpg,,735,661,test,test,1,static/imgs/validation/,Yijie
6647,P53,CYCLIN D1,"19,537,212,63.00000000000009",inhibit_relation,581,PMC5908975__fnmol-11-00130-g0007.jpg,,735,661,test,test,1,static/imgs/validation/,Yijie
6648,CYCLIN D1,PROLIFERATION,"4,580,88.00000000000001,112.99999999999987",activate_relation,581,PMC5908975__fnmol-11-00130-g0007.jpg,,735,661,test,test,1,static/imgs/validation/,Yijie
6649,MMP9,CELL ATTACHMENT,"505,492,117,189.00",activate_relation,581,PMC5908975__fnmol-11-00130-g0007.jpg,,735,661,test,test,1,static/imgs/validation/,Yijie
6650,MMP2,CELL ATTACHMENT,"505,468,117,213.00",activate_relation,581,PMC5908975__fnmol-11-00130-g0007.jpg,,735,661,test,test,1,static/imgs/validation/,Yijie
6651,CELL ATTACHMENT,CHEMORESISTANCE,"230,662,392.00000000000006,70.00000000000004",activate_relation,581,PMC5908975__fnmol-11-00130-g0007.jpg,,735,661,test,test,1,static/imgs/validation/,Yijie
6652,CILENGITIDE,INTEGRINS,"105,92,353.00000000000006,40.999999999999986",inhibit_relation,581,PMC5908975__fnmol-11-00130-g0007.jpg,,735,661,test,test,1,static/imgs/validation/,Yijie
3455,CORTACTIN,ARP,"161.0680541992,244.1384735107,73.9025421143,43.3111419678",activate_relation,601,PMC5148706__nihms828371f2.jpg,,444,600,test,test,1,static/imgs/validation/,Ziting
3456,N-WASP,WIP,"134.990447998,140.4607086182,56.1226348877,18.5553741455",activate_relation,601,PMC5148706__nihms828371f2.jpg,,444,600,test,test,1,static/imgs/validation/,Ziting
3458,WIP,CORTACTIN,"54.2919235229,174.100769043,38.0567855835,41.4318084717",activate_relation,601,PMC5148706__nihms828371f2.jpg,,444,600,test,test,1,static/imgs/validation/,Ziting
3459,ITSN,N-WASP,"283.8396911621,70.7580718994,20.8598632812,47.1147384644",activate_relation,601,PMC5148706__nihms828371f2.jpg,,444,600,test,test,1,static/imgs/validation/,Ziting
3460,ITSN,WIP,"103.2375640869,69.5992660522,196.4524993896,63.5648574829",activate_relation,601,PMC5148706__nihms828371f2.jpg,,444,600,test,test,1,static/imgs/validation/,Ziting
3461,N-WASP,CDC42,"288.4311218262,69.0231552124,192.6899414062,63.6533432007",activate_relation,601,PMC5148706__nihms828371f2.jpg,,444,600,test,test,1,static/imgs/validation/,Ziting
3462,N-WASP,CORTACTIN,"150.8712463379,174.7154998779,146.0815429688,51.1400146484",activate_relation,601,PMC5148706__nihms828371f2.jpg,,444,600,test,test,1,static/imgs/validation/,Ziting
3463,N-WASP,ARP,"282.5834960938,171.8880462646,20.4401855469,70.37890625",activate_relation,601,PMC5148706__nihms828371f2.jpg,,444,600,test,test,1,static/imgs/validation/,Ziting
6419,CDC42,N-WASP,"255,140,300,18",activate_relation,601,PMC5148706__nihms828371f2.jpg,,444,600,test,test,1,static/imgs/validation/,Ziting
6420,WIP,N-WASP,"46,140,288,15",activate_relation,601,PMC5148706__nihms828371f2.jpg,,444,600,test,test,1,static/imgs/validation/,Ziting
6662,ARP,actln polymerization,"200,263,203,171.00",activate_relation,601,PMC5148706__nihms828371f2.jpg,,444,600,test,test,1,static/imgs/validation/,Ziting
3484,MST1/2,LAST1/2,"174.2597198486,42.5421142578,15.083114624,35.9824676514",activate_relation,609,PMC5788631__oncotarget-09-2175-g012.jpg,,339,712,test,test,1,static/imgs/validation/,Stuart
6114, YAP, YAP,"225,135,93.00000000000003,144",activate_relation,609,PMC5788631__oncotarget-09-2175-g012.jpg,,339,712,test,test,1,static/imgs/validation/,Stuart
6118, YAP, YAP,"81,135,237,27.000000000000007",activate_relation,609,PMC5788631__oncotarget-09-2175-g012.jpg,,339,712,test,test,1,static/imgs/validation/,Stuart
6691,LAST1/2, YAP,"81,91,137.99999999999997,71.00000000000001",activate_relation,609,PMC5788631__oncotarget-09-2175-g012.jpg,,339,712,test,test,1,static/imgs/validation/,Stuart
6692,CTGF,CTGF mRNA,"388,235,88.00000000000004,90.99999999999997",activate_relation,609,PMC5788631__oncotarget-09-2175-g012.jpg,,339,712,test,test,1,static/imgs/validation/,Stuart
6693,CTGF mRNA,CTGF protein,"401.99999999999994,98,75.99999999999997,179.00000000000003",inhibit_relation,609,PMC5788631__oncotarget-09-2175-g012.jpg,,339,712,test,test,1,static/imgs/validation/,Stuart
6694,MIRNA-CTGF,CTGF protein,"401.99999999999994,98,232,49.999999999999986",inhibit_relation,609,PMC5788631__oncotarget-09-2175-g012.jpg,,339,712,test,test,1,static/imgs/validation/,Stuart
6120,TKIS,TK,"265,119,25.000000000000032,79.99999999999999",inhibit_relation,625,PMC3502787__CHRP2012-817304.002.jpg,,336,600,test,test,1,static/imgs/validation/,Stuart
6695, P85,Akt/,"133,172,45,79.99999999999999",activate_relation,625,PMC3502787__CHRP2012-817304.002.jpg,,336,600,test,test,1,static/imgs/validation/,Stuart
6696,TKIs,TK,"193,112,28.99999999999999,90.00000000000001",activate_relation,625,PMC3502787__CHRP2012-817304.002.jpg,,336,600,test,test,1,static/imgs/validation/,Stuart
6697,TKIS,PI3K,"265,168,77.00000000000003,30.999999999999982",activate_relation,625,PMC3502787__CHRP2012-817304.002.jpg,,336,600,test,test,1,static/imgs/validation/,Stuart
